batch_size,color,learning_rate,model,momentum,optimizers,regularizator,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
16.0,grayscale,9001.0,vgg1,9001.0,SGD,9001.0,0.7110000252723694,0.6139297485351562,0.7185516357421875,0.5450671315193176,0.7163757681846619,0.5874048471450806
16.0,grayscale,9001.0,vgg1,9001.0,Adadelta,9001.0,0.6129999756813049,0.6923480033874512,0.6346892714500427,0.63641756772995,0.620636522769928,0.6857749819755554
16.0,grayscale,9001.0,vgg1,9001.0,Adagrad,9001.0,0.6370000243186951,0.7371717095375061,0.6732375621795654,0.6015568971633911,0.6606776118278503,0.6676284670829773
16.0,grayscale,9001.0,vgg1,9001.0,Adam,9001.0,0.7049999833106995,0.7432739734649658,0.7540928721427917,0.49800246953964233,0.7307494878768921,0.6881465315818787
16.0,grayscale,9001.0,vgg1,9001.0,Adamax,9001.0,0.796999990940094,0.48309051990509033,0.7577681541442871,0.4976162910461426,0.7910677790641785,0.4837862253189087
16.0,grayscale,9001.0,vgg1,9001.0,Nadam,9001.0,0.781000018119812,0.47942978143692017,0.7641162872314453,0.48330697417259216,0.7974845767021179,0.46193715929985046
16.0,grayscale,9001.0,vgg1,9001.0,RMSprop,9001.0,0.7260000109672546,0.8487918972969055,0.7407701015472412,0.5182003378868103,0.7415297627449036,0.8042514324188232
16.0,grayscale,9001.0,vgg2,9001.0,SGD,9001.0,0.8240000009536743,0.4343702793121338,0.8270130157470703,0.37806621193885803,0.8357289433479309,0.3953573703765869
16.0,grayscale,9001.0,vgg2,9001.0,Adadelta,9001.0,0.6259999871253967,0.6469849348068237,0.6460073590278625,0.6284204721450806,0.650924026966095,0.6277201771736145
16.0,grayscale,9001.0,vgg2,9001.0,Adagrad,9001.0,0.7440000176429749,0.5301327109336853,0.7210574746131897,0.5431540012359619,0.7512833476066589,0.5036693811416626
16.0,grayscale,9001.0,vgg2,9001.0,Adam,9001.0,0.8730000257492065,0.3165739178657532,0.8502338528633118,0.33059394359588623,0.9147843718528748,0.22923564910888672
